GT,LNF_code,raw_DE,raw_ENG,1st_tier,2nd_tier,3rd_tier,4th_tier_ENG,empty
35,546,Freiland-Konservengemüse,Ground-canned vegetables,Vegetation,Field crops,VegetableCrop,Vegetables,
36,547,Wurzeln der Treibzichorie,chicory roots,Vegetation,Field crops,VegetableCrop,Chicory,
37,548,Buchweizen,buckwheat,Vegetation,Field crops,SmallGrainCereal,Buckwheat,
38,549,Sorghum,sorghum,Vegetation,Field crops,LargeGrainCereal,Sorghum,
39,551,Einjährige Beeren (z.B. Erdbeeren),"Annual berries (e.g., strawberries)",Vegetation,Special crops,Berries,Berries,
40,552,"Einjährige nachwachsende Rohstoffe (Kenaf, usw.)",single-year regrowing ressources (Kenaf and others),Vegetation,Special crops,,,
41,553,Einjährige Gewürz- und Medizinalpflanzen,Annual spice and medicinal plants,Vegetation,Special crops,,,
42,554,"Einjährige gärtnerische Freilandkulturen (Blumen, Rollrasen usw.)","Annual horticultural outdoor crops (flowers, turf etc.)",Vegetation,Special crops,,,
43,555,Ackerschonstreifen,Conservation headlands,Vegetation,Grassland,BiodiversityArea,Biodiversity encouragement area,
44,556,Buntbrache,fallow,Vegetation,Special crops,Fallow,Fallow,
45,557,Rotationsbrache,rotational set-aside,Vegetation,Special crops,Fallow,Fallow,
46,559,Saum auf Ackerflächen,Hem on arable land,Vegetation,Grassland,Meadow,,
47,566,Mohn,Poppy,Vegetation,Special crops,,,
48,567,Saflor,safflower,Vegetation,Special crops,,,
49,568,Linsen,lentils,Vegetation,Field crops,CropMix,,
50,569,"Mischungen von Ackerbohnen, Eiweisserbsen und Lupinen zu Futterzwecken mit Getreide, mindestens 30% Anteil Leguminosen bei der Ernte","Mixtures of field beans, protein peas and lupines for animal feed with cereals, at least 30% legume content at harvest",Vegetation,Field crops,CropMix,MixedCrop,
51,572,Blühstreifen für Bestäuber und andere Nützlinge,Bloom strips for pollinators and other beneficials,Vegetation,Grassland,BiodiversityArea,Biodiversity encouragement area,
52,573,Senf,mustard,Vegetation,Field crops,BroadLeafRowCrop,Mustard,
53,591,Winterraps als nachwachsender Rohstoff,Winter rape as a renewable raw material,Vegetation,Field crops,BroadLeafRowCrop,WinterRapeseed,
54,592,Sonnenblumen als nachwachsender Rohstoff,Sunflowers as regrowing ressource,Vegetation,Field crops,BroadLeafRowCrop,Sunflowers,
55,594,"Offene Ackerfläche, beitragsberechtigt (regionsspezifische Biodiversitätsförderfläche)","open arable land, eligible for subsidies (region-specific biodiversity area)",Bare soil,,,,
56,597,"Übrige offene Ackerfläche, beitragsberechtigt","Other open arable land, eligible",Bare soil,,,,
57,598,"Übrige offene Ackerfläche, nicht beitragsberechtigt","Other open arable land, not eligible",Bare soil,,,,
58,601,Kunstwiesen (ohne Weiden),Art meadows (without pastures),Vegetation,Grassland,Meadow,Meadow,
59,602,"Übrige Kunstwiese, beitragsberechtigt (z.B. Schweineweide, Geflügelweide)","Other artificial meadow, eligible (eg pork pasture, poultry pasture)",Vegetation,Grassland,Meadow,Meadow,
60,611,Extensiv genutzte Wiesen (ohne Weiden),Extensively used meadows (without pastures),Vegetation,Grassland,Meadow,Meadow,
61,612,Wenig intensiv genutzte Wiesen (ohne Weiden),Little intensively used meadows (without pastures),Vegetation,Grassland,Meadow,Meadow,
62,613,Übrige Dauerwiesen (ohne Weiden),Other permanent pastures (without pastures),Vegetation,Grassland,Meadow,Meadow,
63,616,"Weiden (Heimweiden, übrige Weiden ohne Sömmerungsweiden)","Pastures (pastures, other pastures without summer pastures)",Vegetation,Grassland,Pasture,Pasture,
64,617,Extensiv genutzte Weiden,Extensively used pastures,Vegetation,Grassland,Pasture,Pasture,
65,618,Waldweiden (ohne bewaldete Fläche),Forest pastures (without wooded area),Vegetation,Grassland,Pasture,Pasture,
66,621,"Heuwiesen im Sömmerungsgebiet, Übrige Wiesen","Hay meadows in the summering area, other meadows",Vegetation,Grassland,Meadow,Meadow,
67,622,"Heuwiesen im Sömmerungsgebiet, Typ extensiv genutzte Wiese","Hay meadows in the summering area, type extensively used meadow",Vegetation,Grassland,Meadow,Meadow,
68,625,Waldweiden (ohne bewaldete Fläche),Forest pastures (without wooded area),Vegetation,Grassland,Pasture,Pasture,
69,631,Futterleguminosen für die Samenproduktion (Vertragsanbau),fodder legumes (Fabaceae) for seed production (by contract),Vegetation,Field crops,BroadLeafRowCrop,Legumes,
70,632,Futtergräser für die Samenproduktion (Vertragsanbau),fodder grasses for seed production (by contract),Vegetation,Grassland,,,
71,634,Uferwiesen entlang von Fliessgewässern (ohne Weiden),Riverside meadows along rivers (without pastures),Vegetation,Grassland,Meadow,Meadow,
72,697,"Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt","Other green area (permanent green area), entitled to contributions",Vegetation,Grassland,BiodiversityArea,,
73,698,"Übrige Grünfläche (Dauergrünflächen), nicht beitragsberechtigt","Remaining green area (permanent green areas), not eligible",Vegetation,Grassland,,,
74,701,Reben,vines,Vegetation,Orchards,OrchardCrop,Vines,
75,702,Obstanlagen (Äpfel),Fruit plants (apples),Vegetation,Orchards,OrchardCrop,Apples,
76,703,Obstanlagen (Birnen),Fruit plants (pears),Vegetation,Orchards,OrchardCrop,Pears,
77,704,Obstanlagen (Steinobst),Fruit plants (Steinobs),Vegetation,Orchards,OrchardCrop,StoneFruit,
78,705,Mehrjährige Beeren,Perennial berries,Vegetation,Special crops,Berries,Berries,
79,706,Mehrjährige Gewürz- und Medizinalpflanzen,Perennial spice and medicinal plants,Vegetation,Special crops,,,
80,707,"Mehrjährige nachwachsende Rohstoffe (Chinaschilf, usw.)","Perennial renewable resources (miscanthus, etc.)",Vegetation,Special crops,,,
81,708,Hopfen,hop,Vegetation,Orchards,OrchardCrop,Hops,
82,709,Rhabarber,rhubarb,Vegetation,Special crops,,,
83,710,Spargel,asparagus,Vegetation,Special crops,,,
84,712,Christbäume,Christmas trees,Vegetation,Orchards,TreeCrop,TreeCrop,
85,713,Baumschule von Forstpflanzen ausserhalb der Forstzone,Nursery of forest plants outside the forest zone,Vegetation,Orchards,TreeCrop,TreeCrop,
86,714,"Ziersträucher, Ziergehölze und Zierstauden","Ornamental shrubs, ornamental shrubs and ornamental shrubs",Vegetation,Special crops,,,
87,715,"Übrige Baumschulen (Rosen, Früchte, usw.)","Other nurseries (roses, fruits, etc.)",Vegetation,Special crops,,,
88,717,Rebflächen mit natürlicher Artenvielfalt,Vineyards with natural biodiversity,Vegetation,Orchards,OrchardCrop,Vines,
89,718,Trüffelanlagen,Truffle plants (in production),Vegetation,Special crops,,,
90,719,Maulbeerbaumanlagen (Fütterung Seidenraupen),Mulberry trees (feeding silkworms),Vegetation,Special crops,,,
91,720,Gepflegte Selven (Kastanienbäume),Cultivated selven (chestnut trees),Vegetation,Orchards,OrchardCrop,Chestnut,
92,721,Mehrjährige gärtnerische Freilandkulturen (nicht im Gewächshaus),Perennial horticultural outdoor crops (not in the greenhouse),Vegetation,Special crops,,,
93,722,Baumschulen von Reben,vines nursery,Vegetation,Orchards,OrchardCrop,Vines,
94,731,"Andere Obstanlagen (Kiwis, Holunder usw.)","Other fruit plants (kiwis, elderberries, etc.)",Vegetation,Special crops,,,
95,735,Reben (regionsspezifische Biodiversitätsförderflächen),vines (region-specific biodiversity area),Vegetation,Orchards,OrchardCrop,Vines,
96,797,"Übrige Flächen mit Dauerkulturen, beitragsberechtigt","Other areas with permanent crops, eligible",Vegetation,Special crops,BiodiversityArea,,
97,798,"Übrige Flächen mit Dauerkulturen, nicht beitragsberechtigt","Other areas with permanent crops, not eligible",Vegetation,Special crops,,,
98,801,Gemüsekulturen in Gewächshäusern mit festem Fundament,Vegetable crops in greenhouses with solid foundations,Infrastructure,,Greenhouse,Vegetables,
99,802,Übrige Spezialkulturen in Gewächshäusern mit festem Fundament,Other specialized crops in greenhouses with solid foundations,Infrastructure,,Greenhouse,Special cultures,
100,803,Gärtnerische Kulturen in Gewächshäusern mit festem Fundament,Horticultural crops in greenhouses with solid foundations,Infrastructure,,Greenhouse,Special cultures,
101,806,Gemüsekulturen in geschütztem Anbau ohne festes Fundament,Vegetable crops in protected cultivation without firm foundations,,,ProtectedCultivation,Vegetables,
102,807,Übrige Spezialkulturen in geschütztem Anbau ohne festes Fundament,Other special crops in protected cultivation without firm foundations,,,ProtectedCultivation,Special cultures,
103,808,Gärtnerische Kulturen in geschütztem Anbau ohne festes Fundament,Horticultural crops in protected cultivation without firm foundations,,,ProtectedCultivation,Special cultures,
104,847,"Übrige Kulturen in geschütztem Anbau ohne festes Fundament, beitragsberechtigt",Other crops in protected cultivation without a firm foundation,,,ProtectedCultivation,Special cultures,
105,848,Übrige Kulturen in geschütztem Anbau mit festem Fundament,other cultures in protected cultivation with solid foundation),Infrastructure,,,,
106,849,"Übrige Kulturen in geschütztem Anbau ohne festes Fundament, nicht beitragsberechtigt","Other crops in protected cultivation without firm foundations, not eligible",,,ProtectedCultivation,Special cultures,
107,851,Streueflächen in der LN,Scattering areas in the LN,Vegetation,Special crops,,,
108,852,"Hecken-, Feld- und Ufergehölze (mit Krautsaum)","Hedge, field and bank shrubs (with herbaceous area)",Vegetation,Special crops,Hedge,Hedge,
109,857,"Hecken-, Feld- und Ufergehölze (mit Pufferstreifen)","Hedgerow, field and bank shrubs (with buffer strips)",Vegetation,Special crops,Hedge,Hedge,
110,858,"Hecken-, Feld- und Ufergehölze (mit Pufferstreifen) (regionsspezifische Biodiversitätsförderfläche)","Hedgerow, field and bank shrubs (with buffer strips) (region-specific biodiversity production area)",Vegetation,Special crops,Hedge,Hedge,
111,897,"Übrige Flächen innerhalb der LN, beitragsberechtigt","Other areas within the LN, entitled to contribute",Undefined,,,Multiple,
112,898,"Übrige Flächen innerhalb der LN, nicht beitragsberechtigt","Other areas within the LN, not eligible",Undefined,,,Multiple,
113,901,Wald,Forest,Vegetation,Forest,Forest,Forest,
114,902,"Übrige unproduktive Flächen (z.B. gemulchte Flächen, stark verunkrautete Flächen, Hecken ohne Pufferstreifen)","Other unproductive areas (eg mulched areas, heavily weedy areas, hedges without buffer strips)",Vegetation,Special crops,Multiple,Multiple,
115,903,"Flächen ohne landwirtschaftliche Hauptzweckbestimmung (erschlossenes Bauland, Spiel-, Reit-, Camping-, Golf-, Flug- und Militärplätze oder ausgemarchte Bereiche von Eisenbahnen, öffentlichen Strassen und Gewässern)","Areas without main agricultural purpose (developed building land, playground, riding, camping, golf, air and military spaces",Undefined,,Undefined,Non agriculture,
116,904,"Wassergräben, Tümpel, Teiche","Ditches, ponds, ponds",Undefined,,,Waters,
117,905,"Ruderalflächen, Steinhaufen und -wälle","Ruderal areas, cairns and ramparts",Infrastructure,,,Non agriculture,
118,906,Trockenmauern,dry stone walls,Infrastructure,,,Multiple,
119,907,"Unbefestigte, natürliche Wege","non-asphalted, natural paths",Bare soil,,,,
120,908,Regionsspezifische Biodiversitätsförderflächen,Region-specific biodiversity promotion areas,Vegetation,Grassland,BiodiversityArea,Biodiversity encouragement area,
121,909,Hausgärten,home gardens,Vegetation,Special crops,Gardens,Gardens,
122,911,"Landwirtschaftliche Produktion in Gebäuden (z. B. Champignon, Brüsseler)","agricultural production in buildings (e.g. champignons, brussel sprouts)",Infrastructure,,,,
123,930,Sömmerungsweiden,Summer pastures,Vegetation,Grassland,Pasture,Pasture,
124,998,Übrige Flächen ausserhalb der LN und SF,Other areas outside the LN and SF,Undefined,,Undefined,Non agriculture,
